facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
FK Ural Szverdlovszkaja Oblaszty,224265700922793,13086,0,Sports Team,https://www.facebook.com/pages/FK-Ural-Szverdlovszkaja-Oblaszty/224265700922793
Falkenbergs FF,241014225927199,8155,650,Sports Team,https://www.facebook.com/falkenbergsff/
Fenerbahçe,138432502881936,9906528,163988,Sports Team,https://www.facebook.com/Fenerbahce/
Ferencvárosi TC (labdarúgás),109337585759756,59948,0,Sports Team,https://www.facebook.com/pages/Ferencv%C3%A1rosi-TC-labdar%C3%BAg%C3%A1s/109337585759756
Feyenoord Rotterdam,173904516815,587214,43606,Sports Team,https://www.facebook.com/feyenoord/
Grupo Desportivo de Chaves,226026300131,58186,5386,Sports Team,https://www.facebook.com/GDChaves/
Estoril Praia Formação,441088002602852,6724,361,Amateur Sports Team,https://www.facebook.com/GDEstorilPraiaFormacao/
GIF Sundsvall,138431479946,16279,734,Sports Team,https://www.facebook.com/gifsundsvall/
Galatasaray,146595108732526,13246305,174850,Other,https://www.facebook.com/Galatasaray/
Gaz Metan Mediaş,223536637689818,8440,887,Sports Team,https://www.facebook.com/GazMetan/
Gaziantepspor,25983363073,135889,3834,Community Center,https://www.facebook.com/Gaziantepsporfan/
FC Orenburg,105543199479386,126,0,Sports Team,https://www.facebook.com/pages/FC-Orenburg/105543199479386
Gefle IF Fotboll,106554629378929,10183,525,Sports Team,https://www.facebook.com/gefleif/
Genoa CFC,155465667797695,274158,5206,Sports Team,https://www.facebook.com/genoaCFCofficial/
Gençlerbirliği Spor Kulübü,485736014770771,99578,939,Sports Team,https://www.facebook.com/genclerbirligi.official/
FC Girondins de Bordeaux,130890383602119,729914,11497,Sports Team,https://www.facebook.com/girondins/
Go Ahead Eagles,187093648058372,24262,1610,Sports Team,https://www.facebook.com/gaeagles/
Granada CF,191397207587097,355739,4391,Performance & Event Venue,https://www.facebook.com/GRANADACF.es/
Gyirmót FC,106223526075458,180,0,Sports Team,https://www.facebook.com/pages/Gyirm%C3%B3t-FC/106223526075458
Górnik Łęczna,602306786458006,20568,1134,Sports Team,https://www.facebook.com/gornikleczna/
HNK Rijeka,115670455302606,9632,27,Sports Team,https://www.facebook.com/HNK-Rijeka-115670455302606/
HNK Hajduk Split,456746181066941,287398,13621,Sports Team,https://www.facebook.com/hnkhajduk/
Hamburger SV,105680399466437,53713,0,Sports Team,https://www.facebook.com/pages/Hamburger-SV/105680399466437
Hamilton Academical F.C.,105567092810794,3621,0,Sports Team,https://www.facebook.com/pages/Hamilton-Academical-FC/105567092810794
Hammarby Fotboll,104112846292742,44292,0,Sports Team,https://www.facebook.com/pages/Hammarby-Fotboll/104112846292742
Heart of Midlothian FC,107881482572813,28018,0,Sports Team,https://www.facebook.com/pages/Heart-of-Midlothian-FC/107881482572813
Helsingborgs IF,142847792408053,46517,2531,Sports Team,https://www.facebook.com/HelsingborgsiF/
Heracles Almelo,231184775452,23454,2006,Outdoor, Recreation & Fitness,https://www.facebook.com/HeraclesAlmelo/
HERTHA BSC,174184647568,351834,10400,Sports Team,https://www.facebook.com/herthabsc/
Hull UK City of Culture 2017,325278547593266,65148,4607,Community,https://www.facebook.com/HullCityofCulture/
IF Elfsborg,18533961382,40273,3941,Sports Team,https://www.facebook.com/ifelfsborg/
IFK Göteborg,11866285131,152791,3201,Sports Team,https://www.facebook.com/ifkgoteborg/
IFK Norrköping (Officiella),108758009145745,34676,1023,Sports Team,https://www.facebook.com/ifknorrkoping/
ICC - International Cricket Council,146078378744600,18182324,384606,Sports Team,https://www.facebook.com/icc/
Inverness Ct Fans,135114383174259,971,0,Community,https://www.facebook.com/CaleyFans/
