query,facebook_name,facebook_id,twitter_name,twitter_id,instagram_name,instagram_id
Valencia CF,Valencia CF,1032164243594421,valenciacf,109312021,valenciacf,508065640
VfL Wolfsburg,VfL Wolfsburg,386992377159,VfL_Wolfsburg,15915062,vfl.wolfsburg,1422053831
Villarreal CF,Villarreal CF,142247370831,VillarrealCF,46862437,villarrealcf,1698765
Watford FC,Watford FC,21223691814,WatfordFC,226590250,watfordfcofficial,305373032
Werder Bremen,SV Werder Bremen,7642198065,werderbremen_en,2429350254,werderbremen,187682134
West Bromwich Albion,West Bromwich Albion,44784315079,WBA,280412626,wba,553233636
West Ham United,West Ham United,129911763708715,WestHamUtd,156247074,westham,695302374
Santos,santosfc,101402899928278,SantosFC,49751816,santosfc,266591990
Fenerbahce,Fenerbahce,138432502881936,Fenerbahce,11525172,fenerbahce,544022417
Galatasaray,Galatasaray,146595108732526,Galatasaray,2279528208,galatasaray,301557358
AL Ahly SC,Officialahlysc,452950464747477,AlAhly,1264208004,alahlyegypt,1599928863
Besiktas,Besiktas,218473211511963,Besiktas,259758878,besiktas,358954311
New York Red Bulls,newyorkredbulls,47526370263,NewYorkRedBulls,27092557,newyorkredbulls,53069624
Los Angeles Galaxy,lagalaxy,9893397034,LAGalaxy,23011345,lagalaxy,20940324
Boca Juniors,BocaJuniors,114264528738492,BocaJrsOficial,42933426,bocajrsoficial,622399517
River Plate,riverplateoficial,190145714465524,CARPoficial,161734463,carpoficial,400524273
