date,ACMilan,AtleticodeMadrid,Chelsea-FC,Juventus,RealMadrid,fcbarcelona,fcbayern,fcbayern.en,manchesterunited
2015-07-02,21381926,9829766,32781644,9246574,70411954,71524881,2521063,20023188,55674313
2015-07-03,21384836,9832701,32784518,9248134,70421108,71539844,2521448,20041942,55679651
2015-07-04,21387602,9835670,32792190,9249430,70431745,71554073,2521841,20060769,55685219
2015-07-05,21389208,9838509,32796478,9250578,70442221,71571183,2522228,20078741,55690104
2015-07-06,21391033,9841166,32799713,9252109,70451161,71586883,2522660,20096141,55694721
2015-07-07,21373823,9840395,32789361,9248137,70418649,71579821,2522982,20095452,55694740
2015-07-08,21375990,9844744,32795103,9250911,70434069,71606481,2523539,20113379,55705684
2015-07-09,21377971,9846643,32796221,9251846,70440443,71622759,2523842,20127781,55709921
2015-07-10,21379632,9848486,32798871,9253439,70447348,71635708,2524146,20142326,55714323
2015-07-11,21380669,9851002,32801758,9254958,70454478,71651225,2524430,20159565,55719698
2015-07-12,21383980,9853633,32807348,9256043,70471306,71675613,2524973,20183337,55740507
2015-07-13,21366564,9851195,32796949,9250369,70438888,71653652,2525658,20185089,55755453
2015-07-14,21367244,9853119,32802476,9251557,70444958,71676110,2521381,20207976,55783410
2015-07-15,21369527,9855178,32811765,9263503,70453241,71692874,2522970,20237862,55795292
2015-07-16,21372760,9859324,32819711,9266977,70468332,71717117,2523278,20258419,55810287
2015-07-17,21377197,9862851,32828376,9268031,70486661,71742497,2523719,20275982,55827514
2015-07-18,21379495,9865134,32832155,9272280,70490689,71751647,2524018,20288095,55836198
2015-07-19,21381070,9866788,32836461,9273781,70496184,71760436,2524554,20299781,55846453
2015-07-20,21383816,9869448,32841341,9273862,70507083,71778241,2525117,20313030,55857702
2015-07-21,21386435,9871985,32845995,9275234,70516740,71792468,2525582,20325471,55866523
2015-07-22,21388577,9874247,32849815,9276125,70525084,71807275,2525913,20341292,55874743
2015-07-23,21389773,9876907,32854279,9276939,70534035,71821538,2526189,20355877,55882593
2015-07-24,21390970,9880495,32860736,9277978,70542659,71834290,2526595,20370356,55889617
2015-07-25,21392100,9883506,32865145,9278614,70553429,71848192,2526964,20382570,55897503
2015-07-26,21394460,9886301,32870702,9279556,70563360,71864552,2527390,20396427,55909015
2015-07-27,21395977,9888360,32879045,9280361,70576150,71884015,2527660,20411188,55925178
2015-07-28,21398280,9890535,32889766,9281426,70598486,71910834,2528084,20427834,55947275
2015-07-29,21401244,9893054,32902044,9282635,70616025,71936138,2528679,20444767,55965078
2015-07-30,21402615,9894839,32915805,9295265,70633068,71958278,2525990,20467811,55980066
2015-07-31,21407391,9897116,32938849,9300787,70660559,71997260,2527509,20494190,56006726
2015-08-01,21408531,9897975,32939105,9299749,70666766,72006950,2527532,20493290,56009202
2015-08-02,21412832,9900592,32950108,9301308,70691725,72038657,2528280,20500261,56030497
2015-08-03,21413775,9901341,32963148,9302466,70700949,72050063,2528679,20501877,56038844
2015-08-04,21415796,9902724,32971829,9303907,70717768,72073122,2528962,20504695,56054536
