team_name,team_tw_name,tw_id,url,created_at,followers,statuses
CF Reus Deportiu,angelmarort,387840862,None,2011-10-09,1209,2274
CFR Cluj,CFR_1907_Cluj,382078264,http://t.co/iVnlSfLQaI,2011-09-29,1772,448
CS Marítimo,MaritimoMadeira,3395758462,https://t.co/V6rljAq2qc,2015-07-30,3015,1289
CS Universitatea Craiova,NaN,NaN,NaN,NaN,NaN,NaN
CSKA Moskva,Moskva_Support,2429494465,http://t.co/VgUL6kmxOP,2014-04-05,30,8
CSMS Iaşi,NaN,NaN,NaN,NaN,NaN,NaN
Cagliari Calcio,CagliariCalcio,712132014,https://t.co/pPOmRg0h75,2012-07-23,233271,13606
Cardiff City,CardiffCityFC,40852753,https://t.co/aiRXF30Aty,2009-05-18,211330,41710
Carpi FC,CarpiFC_BRA,3221465410,None,2015-04-29,297,837
Celta Vigo,GiuseppeRossi22,62352806,None,2009-08-02,948435,13571
Celtic FC,StalyCelticFC,333991679,https://t.co/J13YGGahuK,2011-07-12,5999,16073
Chamois Niortais,CNFC_Officiel,1098866340,https://t.co/9zdUH2uqyC,2013-01-17,26581,20686
Chelsea FC,ChelseaFC,22910295,https://t.co/7dGFqETrL0,2009-03-05,8421918,68647
Chievo Verona,jdeguz,25429906,https://t.co/3Qf1iNzVpH,2009-03-20,136745,4117
Cibalia Vinkovci,HNK_CIBALIA,233170924,http://t.co/0fiiiywRU1,2011-01-02,240,91
Clermont Foot,ClermontFoot,50592815,http://t.co/vWhLV7MdmW,2009-06-25,39749,4495
Club Brugge KV,ClubBrugge,14233933,http://t.co/RrOo1YgBbW,2008-03-27,102487,17615
Concordia Chiajna,NaN,NaN,NaN,NaN,NaN,NaN
Cracovia Kraków,MaciejCzupryna,170350767,None,2010-07-24,54,2431
Crystal Palace,CPFC,85307509,https://t.co/AgZi9DECyV,2009-10-26,496488,59258
Cádiz CF,Cadiz_CF,39945056,https://t.co/6oCRis6R9m,2009-05-14,75763,16305
Córdoba CF,cordobacfsad,218531242,http://t.co/VfvtJS6Uwo,2010-11-22,191580,23260
DAC Dunajská Streda,NaN,NaN,NaN,NaN,NaN,NaN
Debreceni VSC,debreceni,71348418,None,2009-09-03,494,4508
Deportivo La Coruña,CelsoBorgesCR,622063417,https://t.co/48nUyS60l9,2012-06-29,378076,2653
Derby County,dcfcofficial,159041674,https://t.co/KF03ptnEvZ,2010-06-24,174724,86218
Dijon FCO,DFCO_Officiel,84288520,https://t.co/0E0p8z7cUE,2009-10-22,61577,20118
Dinamo Bucureşti,FCDinamoEN,31457201,None,2009-04-15,534,1131
Dinamo Zagreb,gnkdinamo,224965118,https://t.co/k7tNzAi4wg,2010-12-10,47763,12312
Diósgyöri VTK,Diosgyori1910vt,2462392563,None,2014-04-05,11,8
Djurgårdens IF,Djurgardens_IF,80677095,http://t.co/Nx2IifW9xm,2009-10-07,10511,9304
Dumbarton FC,Dumbartonfc,65352971,https://t.co/ONm53ZDgpk,2009-08-13,7774,20583
Dundee FC,dundeefconline,33013034,https://t.co/DBsdA2GHnA,2009-04-18,33677,22453
Dundee United,dundeeunitedfc,23579243,https://t.co/cy7vXmvdeD,2009-03-10,42083,19636
Dunfermline Athletic,officialdafc,72582858,https://t.co/MPSmClsfvR,2009-09-08,14892,22408
Dynamo Dresden,DynamoDresden,15134795,https://t.co/mZeb6VokJB,2008-06-16,72817,14395
EA Guingamp,LemaitreReynald,3394382806,None,2015-07-29,1469,548
ESTAC Troyes,estac_officiel,114710148,https://t.co/xsjfKRRt6H,2010-02-16,57970,16268
Eintracht Braunschweig,EintrachtBSNews,227624330,http://t.co/AXdoQ5QUI2,2010-12-17,89224,13025
